Match Number,Round Number,Date,Location,Home Team,Away Team,Result
68,8,07/10/2023 11:00,Stade Saint-Symphorien,FC Metz,OGC Nice,0 - 1
70,8,07/10/2023 15:00,Stade Auguste Delaune,Stade de Reims,AS Monaco,1 - 3
67,8,08/10/2023 07:00,Stade Vélodrome,Olympique de Marseille,Havre AC,3 - 0
64,8,08/10/2023 09:00,Stade Francis-Le Blé,Stade Brestois 29,Toulouse FC,1 - 1
66,8,08/10/2023 09:00,Parc Olympique Lyonnais,Olympique Lyonnais,FC Lorient,3 - 3
65,8,08/10/2023 11:05,Stade Bollaert-Delelis,RC Lens,LOSC Lille,1 - 1
72,8,08/10/2023 14:45,Roazhon Park,Stade Rennais FC,Paris Saint-Germain,1 - 3
69,8,29/11/2023 13:00,Stade de la Mosson,Montpellier Hérault SC,Clermont Foot 63,
73,9,20/10/2023 15:00,Stade Océane,Havre AC,RC Lens,0 - 0
80,9,21/10/2023 11:00,Parc des Princes,Paris Saint-Germain,RC Strasbourg Alsace,3 - 0
79,9,21/10/2023 15:00,Stade de Nice,OGC Nice,Olympique de Marseille,1 - 0
75,9,22/10/2023 07:00,Stade du Moustoir,FC Lorient,Stade Rennais FC,2 - 1
74,9,22/10/2023 09:00,Stade Pierre-Mauroy,LOSC Lille,Stade Brestois 29,1 - 0
78,9,22/10/2023 09:00,Stade de la Beaujoire,FC Nantes,Montpellier Hérault SC,2 - 0
81,9,22/10/2023 09:00,Stadium de Toulouse,Toulouse FC,Stade de Reims,1 - 1
77,9,22/10/2023 11:05,Stade Louis II,AS Monaco,FC Metz,2 - 1
76,9,22/10/2023 14:45,Parc Olympique Lyonnais,Olympique Lyonnais,Clermont Foot 63,1 - 2
83,10,27/10/2023 15:00,Stade Gabriel Montpied,Clermont Foot 63,OGC Nice,0 - 1
88,10,28/10/2023 11:00,Stade Auguste Delaune,Stade de Reims,FC Lorient,1 - 0
84,10,28/10/2023 15:00,Stade Bollaert-Delelis,RC Lens,FC Nantes,4 - 0
82,10,29/10/2023 08:00,Stade Francis-Le Blé,Stade Brestois 29,Paris Saint-Germain,2 - 3
85,10,29/10/2023 10:00,Stade Pierre-Mauroy,LOSC Lille,AS Monaco,2 - 0
86,10,29/10/2023 10:00,Stade Saint-Symphorien,FC Metz,Havre AC,0 - 0
87,10,29/10/2023 10:00,Stade de la Mosson,Montpellier Hérault SC,Toulouse FC,3 - 0
89,10,29/10/2023 12:05,Roazhon Park,Stade Rennais FC,RC Strasbourg Alsace,1 - 1
90,10,06/12/2023 15:00,Stade Vélodrome,Olympique de Marseille,Olympique Lyonnais,
97,11,03/11/2023 16:00,Parc des Princes,Paris Saint-Germain,Montpellier Hérault SC,3 - 0
91,11,04/11/2023 12:00,Stade du Moustoir,FC Lorient,RC Lens,0 - 0
93,11,04/11/2023 16:00,Stade Vélodrome,Olympique de Marseille,LOSC Lille,0 - 0
92,11,05/11/2023 07:00,Parc Olympique Lyonnais,Olympique Lyonnais,FC Metz,1 - 1
95,11,05/11/2023 09:00,Stade de la Beaujoire,FC Nantes,Stade de Reims,0 - 1
98,11,05/11/2023 09:00,Stade de la Meinau,RC Strasbourg Alsace,Clermont Foot 63,0 - 0
99,11,05/11/2023 09:00,Stadium de Toulouse,Toulouse FC,Havre AC,1 - 2
94,11,05/11/2023 11:05,Stade Louis II,AS Monaco,Stade Brestois 29,2 - 0
96,11,05/11/2023 14:45,Stade de Nice,OGC Nice,Stade Rennais FC,2 - 0
105,12,10/11/2023 15:00,Stade de la Mosson,Montpellier Hérault SC,OGC Nice,0 - 0
106,12,11/11/2023 11:00,Stade Auguste Delaune,Stade de Reims,Paris Saint-Germain,0 - 3
102,12,11/11/2023 15:00,Stade Océane,Havre AC,AS Monaco,0 - 0
101,12,12/11/2023 09:00,Stade Gabriel Montpied,Clermont Foot 63,FC Lorient,1 - 0
103,12,12/11/2023 09:00,Stade Pierre-Mauroy,LOSC Lille,Toulouse FC,1 - 1
104,12,12/11/2023 09:00,Stade Saint-Symphorien,FC Metz,FC Nantes,3 - 1
107,12,12/11/2023 11:05,Roazhon Park,Stade Rennais FC,Olympique Lyonnais,0 - 1
108,12,12/11/2023 14:45,Stade Bollaert-Delelis,RC Lens,Olympique de Marseille,1 - 0
100,12,07/12/2023 14:30,Stade Francis-Le Blé,Stade Brestois 29,RC Strasbourg Alsace,
115,13,24/11/2023 15:00,Parc des Princes,Paris Saint-Germain,AS Monaco,5 - 2
109,13,25/11/2023 11:00,Stade Gabriel Montpied,Clermont Foot 63,RC Lens,
117,13,25/11/2023 15:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique de Marseille,
114,13,26/11/2023 07:00,Stade de Nice,OGC Nice,Toulouse FC,
110,13,26/11/2023 09:00,Stade du Moustoir,FC Lorient,FC Metz,
112,13,26/11/2023 09:00,Stade de la Mosson,Montpellier Hérault SC,Stade Brestois 29,
113,13,26/11/2023 09:00,Stade de la Beaujoire,FC Nantes,Havre AC,
116,13,26/11/2023 11:05,Roazhon Park,Stade Rennais FC,Stade de Reims,
111,13,26/11/2023 14:45,Parc Olympique Lyonnais,Olympique Lyonnais,LOSC Lille,
125,14,01/12/2023 15:00,Stade Auguste Delaune,Stade de Reims,RC Strasbourg Alsace,
120,14,02/12/2023 11:00,Stade Bollaert-Delelis,RC Lens,Olympique Lyonnais,
124,14,02/12/2023 15:00,Stade de la Beaujoire,FC Nantes,OGC Nice,
119,14,03/12/2023 07:00,Stade Océane,Havre AC,Paris Saint-Germain,
118,14,03/12/2023 09:00,Stade Francis-Le Blé,Stade Brestois 29,Clermont Foot 63,
123,14,03/12/2023 09:00,Stade Louis II,AS Monaco,Montpellier Hérault SC,
126,14,03/12/2023 09:00,Stadium de Toulouse,Toulouse FC,FC Lorient,
121,14,03/12/2023 11:05,Stade Pierre-Mauroy,LOSC Lille,FC Metz,
122,14,03/12/2023 14:45,Stade Vélodrome,Olympique de Marseille,Stade Rennais FC,
131,15,08/12/2023 15:00,Stade de la Mosson,Montpellier Hérault SC,RC Lens,
134,15,09/12/2023 11:00,Roazhon Park,Stade Rennais FC,AS Monaco,
133,15,09/12/2023 15:00,Parc des Princes,Paris Saint-Germain,FC Nantes,
132,15,10/12/2023 07:00,Stade de Nice,OGC Nice,Stade de Reims,
127,15,10/12/2023 09:00,Stade Gabriel Montpied,Clermont Foot 63,LOSC Lille,
130,15,10/12/2023 09:00,Stade Saint-Symphorien,FC Metz,Stade Brestois 29,
135,15,10/12/2023 09:00,Stade de la Meinau,RC Strasbourg Alsace,Havre AC,
129,15,10/12/2023 11:05,Parc Olympique Lyonnais,Olympique Lyonnais,Toulouse FC,
128,15,10/12/2023 14:45,Stade du Moustoir,FC Lorient,Olympique de Marseille,
141,16,15/12/2023 15:00,Stade Louis II,AS Monaco,Olympique Lyonnais,
136,16,16/12/2023 11:00,Stade Océane,Havre AC,OGC Nice,
137,16,16/12/2023 15:00,Stade Bollaert-Delelis,RC Lens,Stade de Reims,
142,16,17/12/2023 07:00,Stade de la Beaujoire,FC Nantes,Stade Brestois 29,
138,16,17/12/2023 09:00,Stade du Moustoir,FC Lorient,RC Strasbourg Alsace,
140,16,17/12/2023 09:00,Stade Saint-Symphorien,FC Metz,Montpellier Hérault SC,
143,16,17/12/2023 09:00,Stadium de Toulouse,Toulouse FC,Stade Rennais FC,
139,16,17/12/2023 11:05,Stade Vélodrome,Olympique de Marseille,Clermont Foot 63,
144,16,17/12/2023 14:45,Stade Pierre-Mauroy,LOSC Lille,Paris Saint-Germain,
145,17,20/12/2023 09:00,Stade Francis-Le Blé,Stade Brestois 29,FC Lorient,
146,17,20/12/2023 09:00,Stade Gabriel Montpied,Clermont Foot 63,Stade Rennais FC,
147,17,20/12/2023 09:00,Parc Olympique Lyonnais,Olympique Lyonnais,FC Nantes,
148,17,20/12/2023 09:00,Stade de la Mosson,Montpellier Hérault SC,Olympique de Marseille,
149,17,20/12/2023 09:00,Stade de Nice,OGC Nice,RC Lens,
150,17,20/12/2023 09:00,Parc des Princes,Paris Saint-Germain,FC Metz,
151,17,20/12/2023 09:00,Stade Auguste Delaune,Stade de Reims,Havre AC,
152,17,20/12/2023 09:00,Stade de la Meinau,RC Strasbourg Alsace,LOSC Lille,
153,17,20/12/2023 09:00,Stadium de Toulouse,Toulouse FC,AS Monaco,
154,18,14/01/2024 09:00,Stade Francis-Le Blé,Stade Brestois 29,Montpellier Hérault SC,
155,18,14/01/2024 09:00,Stade Océane,Havre AC,Olympique Lyonnais,
156,18,14/01/2024 09:00,Stade Pierre-Mauroy,LOSC Lille,FC Lorient,
157,18,14/01/2024 09:00,Stade Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,
158,18,14/01/2024 09:00,Stade Saint-Symphorien,FC Metz,Toulouse FC,
159,18,14/01/2024 09:00,Stade Louis II,AS Monaco,Stade de Reims,
160,18,14/01/2024 09:00,Stade de la Beaujoire,FC Nantes,Clermont Foot 63,
161,18,14/01/2024 09:00,Roazhon Park,Stade Rennais FC,OGC Nice,
162,18,14/01/2024 14:45,Stade Bollaert-Delelis,RC Lens,Paris Saint-Germain,
163,19,28/01/2024 09:00,Stade Gabriel Montpied,Clermont Foot 63,RC Strasbourg Alsace,
164,19,28/01/2024 09:00,Stade du Moustoir,FC Lorient,Havre AC,
165,19,28/01/2024 09:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade Rennais FC,
166,19,28/01/2024 09:00,Stade Vélodrome,Olympique de Marseille,AS Monaco,
167,19,28/01/2024 09:00,Stade de la Mosson,Montpellier Hérault SC,LOSC Lille,
168,19,28/01/2024 09:00,Stade de Nice,OGC Nice,FC Metz,
169,19,28/01/2024 09:00,Parc des Princes,Paris Saint-Germain,Stade Brestois 29,
170,19,28/01/2024 09:00,Stade Auguste Delaune,Stade de Reims,FC Nantes,
171,19,28/01/2024 09:00,Stadium de Toulouse,Toulouse FC,RC Lens,
172,20,04/02/2024 09:00,Stade Francis-Le Blé,Stade Brestois 29,OGC Nice,
173,20,04/02/2024 09:00,Stade Pierre-Mauroy,LOSC Lille,Clermont Foot 63,
174,20,04/02/2024 09:00,Stade Saint-Symphorien,FC Metz,FC Lorient,
175,20,04/02/2024 09:00,Stade Louis II,AS Monaco,Havre AC,
176,20,04/02/2024 09:00,Stade de la Beaujoire,FC Nantes,RC Lens,
177,20,04/02/2024 09:00,Stade Auguste Delaune,Stade de Reims,Toulouse FC,
178,20,04/02/2024 09:00,Roazhon Park,Stade Rennais FC,Montpellier Hérault SC,
179,20,04/02/2024 09:00,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,
180,20,04/02/2024 14:45,Parc Olympique Lyonnais,Olympique Lyonnais,Olympique de Marseille,
181,21,11/02/2024 09:00,Stade Gabriel Montpied,Clermont Foot 63,Stade Brestois 29,
182,21,11/02/2024 09:00,Stade Océane,Havre AC,Stade Rennais FC,
183,21,11/02/2024 09:00,Stade Bollaert-Delelis,RC Lens,RC Strasbourg Alsace,
184,21,11/02/2024 09:00,Stade du Moustoir,FC Lorient,Stade de Reims,
185,21,11/02/2024 09:00,Stade Vélodrome,Olympique de Marseille,FC Metz,
186,21,11/02/2024 09:00,Stade de la Mosson,Montpellier Hérault SC,Olympique Lyonnais,
187,21,11/02/2024 09:00,Stade de Nice,OGC Nice,AS Monaco,
188,21,11/02/2024 09:00,Parc des Princes,Paris Saint-Germain,LOSC Lille,
189,21,11/02/2024 09:00,Stadium de Toulouse,Toulouse FC,FC Nantes,
190,22,18/02/2024 09:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique de Marseille,
191,22,18/02/2024 09:00,Stade Pierre-Mauroy,LOSC Lille,Havre AC,
192,22,18/02/2024 09:00,Parc Olympique Lyonnais,Olympique Lyonnais,OGC Nice,
193,22,18/02/2024 09:00,Stade Louis II,AS Monaco,Toulouse FC,
194,22,18/02/2024 09:00,Stade de la Mosson,Montpellier Hérault SC,FC Metz,
195,22,18/02/2024 09:00,Stade de la Beaujoire,FC Nantes,Paris Saint-Germain,
196,22,18/02/2024 09:00,Stade Auguste Delaune,Stade de Reims,RC Lens,
197,22,18/02/2024 09:00,Roazhon Park,Stade Rennais FC,Clermont Foot 63,
198,22,18/02/2024 09:00,Stade de la Meinau,RC Strasbourg Alsace,FC Lorient,
199,23,25/02/2024 09:00,Stade Océane,Havre AC,Stade de Reims,
200,23,25/02/2024 09:00,Stade Bollaert-Delelis,RC Lens,AS Monaco,
201,23,25/02/2024 09:00,Stade du Moustoir,FC Lorient,FC Nantes,
202,23,25/02/2024 09:00,Stade Vélodrome,Olympique de Marseille,Montpellier Hérault SC,
203,23,25/02/2024 09:00,Stade Saint-Symphorien,FC Metz,Olympique Lyonnais,
204,23,25/02/2024 09:00,Stade de Nice,OGC Nice,Clermont Foot 63,
205,23,25/02/2024 09:00,Parc des Princes,Paris Saint-Germain,Stade Rennais FC,
206,23,25/02/2024 09:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Brestois 29,
207,23,25/02/2024 09:00,Stadium de Toulouse,Toulouse FC,LOSC Lille,
208,24,03/03/2024 09:00,Stade Francis-Le Blé,Stade Brestois 29,Havre AC,
209,24,03/03/2024 09:00,Stade Gabriel Montpied,Clermont Foot 63,Olympique de Marseille,
210,24,03/03/2024 09:00,Parc Olympique Lyonnais,Olympique Lyonnais,RC Lens,
211,24,03/03/2024 09:00,Stade Louis II,AS Monaco,Paris Saint-Germain,
212,24,03/03/2024 09:00,Stade de la Mosson,Montpellier Hérault SC,RC Strasbourg Alsace,
